str_1,str_2
Energy (keV),I_0 (a.u.)
11.85,4770
11.8505,4887
11.851,5115
11.8515,4971
11.852,5055
11.8525,5421
11.853,5238
11.8535,5271
11.854,5610
11.8545,5898
11.855,5691
11.8555,5976
11.856,6003
11.8565,6600
11.857,6342
11.8575,6573
11.858,6981
11.8585,7155
11.859,6999
11.8595,7515
11.86,7926
11.8605,8367
11.861,8271
11.8615,8508
11.862,9432
11.8625,9555
11.863,10296
11.8635,10890
11.864,11370
11.8645,12522
11.865,13458
11.8655,14454
11.866,15750
11.8665,16791
11.867,18633
11.8675,20184
11.868,22326
11.8685,25749
11.869,29607
11.8695,34353
11.87,39840
11.8705,47976
11.871,59313
11.8715,74964
11.872,97065
11.8725,126564
11.873,167478
11.8735,211806
11.874,248598
11.8745,256104
11.875,242646
11.8755,222756
11.876,193509
11.8765,177786
11.877,169254
11.8775,162171
11.878,155133
11.8785,148743
11.879,140229
11.8795,128643
11.88,122280
11.8805,114522
11.881,110379
11.8815,107367
11.882,106716
11.8825,107964
11.883,112383
11.8835,119220
11.884,125700
11.8845,130173
11.885,134586
11.8855,133686
11.886,132630
11.8865,128955
11.887,127785
11.8875,124956
11.888,122709
11.8885,120669
11.889,121776
11.8895,119685
11.89,118512
11.8905,117519
11.891,116364
11.8915,115665
11.892,113124
11.8925,111564
11.893,110946
11.8935,108204
11.894,107733
11.8945,105726
11.895,105426
11.8955,103479
11.896,101670
11.8965,98142
11.897,97752
11.8975,96675
11.898,94740
11.8985,96039
11.899,96645
11.8995,96498
11.9,95583
11.9005,95148
11.901,95274
11.9015,94863
11.902,93909
11.9025,94764
11.903,94248
11.9035,93753
11.904,93702
11.9045,93939
11.905,93039
11.9055,92730
11.906,91908
11.9065,91920
11.907,92304
11.9075,90804
11.908,89853
11.9085,90063
11.909,89877
11.9095,90378
11.91,90393
